pyear,nber_cat,inventor_id,assignee_id,appln_id,log_novelty,log_novelty_low,log_novelty_hi,fok,fok_low,fok_hi,bt,bt_low,bt_hi,fail,fail_low,fail_hi,log_cit_10,log_cit_10_low,log_cit_10_hi
1986,1,1350,208,1743,0.9995119448973361,0.9542025925798729,1.0448212972147992,0.8501174999919341,0.8461629137184573,0.8540720862654109,0.014516129032258065,0.009807787280147223,0.019224470784368907,0.2931451612903226,0.275225727181932,0.3110645953987132,1.8800718894853823,1.8402609186886865,1.919882860282078
1986,2,710,105,769,0.6837680683306238,0.6361446915847285,0.731391445076519,0.8458370644587161,0.8394073157815669,0.8522668131358653,0.010091743119266056,0.004155349379056338,0.016028136859475774,0.22201834862385322,0.19733402437145625,0.2467026728762502,2.5534941044983457,2.501662210976504,2.6053259980201875
1986,3,618,155,745,1.1051858168521864,1.030905007380357,1.1794666263240159,0.7358254207719607,0.7281093700854874,0.743541471458434,0.04081632653061224,0.029259070807132553,0.05237358225409193,0.23868677905944988,0.21378773097051468,0.2635858271483851,2.229522779221711,2.1635132123806735,2.2955323460627484
1986,4,1203,198,1469,0.8632227496106394,0.8219243757399117,0.904521123481367,0.8055996485233549,0.798938779913193,0.8122605171335168,0.010045203415369162,0.005663766297589512,0.01442664053314881,0.24359618282270215,0.22473618543020166,0.2624561802152026,2.1580566653759834,2.1202231554176727,2.195890175334294
1986,5,832,240,950,0.9198245667396425,0.8622129382429624,0.9774361952363226,0.875812331958679,0.8706872437468175,0.8809374201705406,0.008264462809917356,0.003161197188641613,0.013367728431193097,0.27603305785123966,0.25083408508901045,0.30123203061346887,1.8930881984806822,1.8425039154310128,1.9436724815303517
1986,6,686,231,784,0.907781366652404,0.842736933776418,0.9728257995283901,0.8173222756727968,0.8066523625671636,0.8279921887784301,0.003872216844143272,8.296400890595718e-05,0.007661469679380587,0.24878993223620524,0.22241366565647808,0.2751661988159324,1.989660063460515,1.9323466106671467,2.046973516253883
1986,9999,50,17,41,1.013985419736221,0.801286618020588,1.226684221451854,0.9134251480303031,0.8971773221106708,0.9296729739499353,0.030303030303030304,-0.01137051437192186,0.07197657497798246,0.22727272727272727,0.12539337501837666,0.32915207952707787,3.162384887889438,2.922694907315266,3.4020748684636097
1987,1,1630,247,2057,0.9811429875554479,0.9395593953320657,1.0227265797788303,0.8560732517090451,0.8527148918069812,0.859431611611109,0.01544898616028323,0.011111636351282081,0.01978633596928438,0.28741551335693594,0.2714997076028104,0.3033313191110615,1.901787135953077,1.8677925462630278,1.935781725643126
1987,2,834,126,938,0.8093853725270512,0.7615892802140873,0.8571814648400151,0.8433359690968211,0.838081019933784,0.8485909182598581,0.024566473988439308,0.01640788163622657,0.032725066340652045,0.1726878612716763,0.15276688652202883,0.19260883602132375,2.788341158424715,2.740380805476759,2.836301511372671
1987,3,784,185,903,1.1023324881450074,1.0277339072049934,1.1769310690850214,0.7643506380841791,0.7583143362547076,0.7703869399136507,0.03483309143686502,0.02514838807913101,0.044517794794599025,0.23222060957910015,0.2099178960185522,0.2545233231396481,2.2559866074730053,2.197054583869527,2.3149186310764835
1987,4,1303,232,1576,0.8672958243488437,0.8249164744032088,0.9096751742944785,0.8005833408558343,0.794007765798519,0.8071589159131496,0.02288329519450801,0.01661192763887774,0.029154662750138276,0.22379862700228834,0.20631845641503713,0.24127879758953955,2.2318530674333243,2.1945733211391287,2.26913281372752
1987,5,954,230,1079,0.8735081318526426,0.8219082049525877,0.9251080587526976,0.8811776573491397,0.8760078491738821,0.8863474655243972,0.007902298850574713,0.0032491552772073145,0.012555442423942112,0.2916666666666667,0.2677800442079217,0.3155532891254117,1.8837578277388378,1.8393305505938187,1.928185104883857
1987,6,872,279,938,0.9664887508568546,0.9094376986681019,1.0235398030456073,0.8463311895967888,0.8382087712416114,0.8544536079519661,0.01285140562248996,0.006592297374423826,0.019110513870556095,0.24899598393574296,0.2249654631925092,0.2730265046789767,2.0767889874345213,2.0265345927979808,2.127043382071062
1987,9999,53,19,47,1.1404267105785213,0.9229903873555936,1.357863033801449,0.919876034482759,0.9015177077534975,0.9382343612120205,0.017241379310344827,-0.01655172413793103,0.051034482758620686,0.22413793103448276,0.11587779137813041,0.3323980706908351,2.9364671852239668,2.7146047729784644,3.158329597469469
1988,1,1916,281,2323,0.962793643422268,0.9243115821012838,1.0012757047432523,0.8614479078172602,0.8583199376256025,0.8645758780089179,0.011280315848843767,0.007803792329032165,0.01475683936865537,0.2777777777777778,0.26303320732985197,0.2925223482257036,1.9097203305736488,1.8772003648423008,1.9422402963049967
1988,2,987,125,1090,0.6223228862625586,0.5840151494843658,0.6606306230407514,0.8622144922584614,0.8571788560463588,0.8672501284705639,0.016,0.00989731997821646,0.02210268002178354,0.21476923076923077,0.19479602647095082,0.23474243506751072,2.6706487719925542,2.626961720975956,2.7143358230091525
1988,3,899,212,1054,1.0392861385507124,0.9788896243495429,1.099682652751882,0.7321972577679101,0.7258210656751943,0.7385734498606259,0.02427471876850207,0.01693278043112386,0.03161665710588028,0.18946121965660154,0.17076658794539282,0.20815585136781026,2.453697106590992,2.400257344822949,2.507136868359035
1988,4,1671,251,1883,0.8151500897264038,0.7789379912561788,0.8513621881966288,0.8233942450468743,0.8181582415665738,0.8286302485271748,0.01124859392575928,0.007245288958915949,0.01525189889260261,0.25646794150731156,0.23989145856403088,0.27304442445059224,2.1701341752879406,2.136607280462039,2.203661070113842
