fok_20,log_novelty,count,std,lower,upper
0.0,0.4441910790480103,35890,0.7677133259991653,0.4362483742556699,0.4521337838403507
1.0,0.439288396851755,33708,0.7885773213876179,0.4308699134139366,0.44770688028957345
2.0,0.45181769819477724,33536,0.7953504931688102,0.44330516152850263,0.46033023486105185
3.0,0.46489159925749646,33950,0.8168383979496077,0.45620254864514237,0.47358064986985055
4.0,0.47053639204785525,33789,0.8179837636752405,0.4618144522376294,0.4792583318580811
5.0,0.4927982794749312,33287,0.8378096095254404,0.48379783243718655,0.5017987265126759
6.0,0.5113319848566442,33542,0.8548797269226706,0.5021831326449645,0.5204808370683239
7.0,0.5406094133672873,33966,0.8788613636491673,0.5312628007912866,0.549956025943288
8.0,0.5628358925572069,33302,0.8969533336695635,0.553202244830185,0.5724695402842288
9.0,0.5882068565560244,34604,0.9101418030402124,0.5786172236677702,0.5977964894442787
10.0,0.6135380244576777,32682,0.935093549393258,0.6033999186468484,0.623676130268507
11.0,0.6543093885844736,33930,0.9541829790891697,0.6441563553732345,0.6644624217957128
12.0,0.6900773110875088,33338,0.9821269954671461,0.6795345601031081,0.7006200620719095
13.0,0.7258765612783059,33752,1.0013476839904736,0.7151936108575856,0.7365595116990262
14.0,0.7703393139511077,33969,1.0329390440822737,0.7593545840177423,0.7813240438844731
15.0,0.8006684840409767,33525,1.0467622993599834,0.7894632804802437,0.8118736876017096
16.0,0.8320197226604846,33322,1.071366058307758,0.8205162642996912,0.8435231810212781
17.0,0.8405045155382631,33746,1.096109199973671,0.8288095554721251,0.8521994756044011
18.0,0.8601884974009969,33498,1.1240186354705177,0.8481514452025305,0.8722255495994633
19.0,0.8037643825790717,35682,1.0979062343481427,0.7923724677822562,0.8151562973758871
